date,total_cost,plan_cost,emergency_cost,emergency_kwh,waste_kwh,start_soc,end_soc
2025-05-08,50996.190868836566,33667.464070268325,17328.72679856824,4546.182080666666,2049.4191824166655,5667.227144999077,1950.0
2025-05-09,16710.033486925535,16710.033486925535,0.0,0.0,24502.773027711934,1950.0,3437.347999537037
2025-05-10,18822.21660078898,18720.610801984312,101.60579880466653,34.46603674999998,20620.06428425,3437.347999537037,10050.0
2025-05-11,48049.52228725267,33786.218263776675,14263.304023475996,3392.1713916666654,2487.463994083332,10050.0,5700.0
2025-05-12,45943.78908573697,36282.45972035997,9661.329365377002,2563.025609833334,5953.304867083334,5700.0,5700.0
2025-05-13,44550.03307397106,36228.16580025223,8321.86727371883,1995.0838269166654,2907.0217841666677,5700.0,7200.0
2025-05-14,40523.36485776564,36125.64494019269,4397.719917572953,1085.380317416665,4223.760731416667,7200.0,7050.0
2025-05-15,40879.1327999225,34037.05329770596,6842.079502216538,1752.3851221666657,4469.488029416666,7050.0,1950.0
2025-05-16,17043.412873108427,17043.412873108427,0.0,0.0,30744.79272983333,1950.0,3329.6286932407393
2025-05-17,19463.907038658286,19349.744853091288,114.16218556699943,74.12715224999963,23018.255120249996,3329.6286932407393,10050.0
2025-05-18,40715.37127345166,33772.497141301494,6942.8741321501675,1972.9154307499998,3769.7647867500027,10050.0,4950.0
2025-05-19,39102.30263945894,36747.731376251686,2354.5712632072527,453.192093583334,9302.518782750001,4950.0,5700.0
2025-05-20,44932.89493307799,35062.508058021114,9870.386875056874,2398.6237411666666,2876.6479232500005,5700.0,4050.0
2025-05-21,45309.75940406842,37696.972543951175,7612.786860117244,1885.2372479166652,6539.748296666667,4050.0,6300.0
2025-05-22,36164.50213331712,34405.69916383932,1758.8029694777936,422.55704100000065,5569.132941083331,6300.0,1950.0
2025-05-23,16731.586683933463,16731.586683933463,0.0,0.0,27256.880813249998,1950.0,1950.0
2025-05-24,20272.514052213122,20272.514052213122,0.0,0.0,30209.032372416663,1950.0,10050.0
2025-05-25,36457.62988425604,34559.08209452175,1898.5477897342912,451.41456100000016,8294.04076175,10050.0,4950.0
2025-05-26,45782.287164238085,36520.144548179334,9262.142616058749,2444.9359629166665,4154.177230666667,4950.0,4751.093386093524
2025-05-27,39038.309344421396,36430.807124363775,2607.5022200576223,696.3123105833329,6847.627094333333,4751.093386093524,4950.0
2025-05-28,43073.636020219434,35721.079416201974,7352.556604017459,2005.953566083334,5573.86199825,4950.0,2700.0
2025-05-29,45448.911688998385,36606.86155060514,8842.050138393242,2153.292311916665,4636.555290083334,2700.0,1200.0
2025-05-30,17781.13576138099,17741.370491258072,39.765270122916604,19.374065833333304,27416.223719,1200.0,2700.0
2025-05-31,19751.504644976743,19511.714648426743,239.78999654999993,90.52094999999997,25795.38216884156,2700.0,10050.0
2025-06-01,100753.48412182754,36885.302762323685,63868.181359503855,14509.030289833328,201.52147366666665,10050.0,3450.0
2025-06-02,93677.77203758704,41299.16866987281,52378.60336771423,11423.095293916664,1520.8548515833334,3450.0,3450.0
2025-06-03,84656.07589167022,42549.997616803754,42106.07827486646,9525.691742666666,496.984488833334,3450.0,4950.0
2025-06-04,78357.86279091184,42955.16540144013,35402.6973894717,8481.694378749999,550.5594710000005,4950.0,3450.0
2025-06-05,74704.36727631639,45227.614213307235,29476.75306300915,6657.493209499997,455.89051866666654,3450.0,1200.0
2025-06-06,27735.874795449254,21515.26290758743,6220.6118878618245,1797.0199480833307,8961.703544666665,1200.0,1200.0
2025-06-07,27211.730322384847,26046.175489174348,1165.554833210499,408.4111891666663,8868.817121333333,1200.0,10050.0
2025-06-08,51855.08478051443,45712.63513871905,6142.449641795378,1502.3421768333335,7238.400667250001,10050.0,1950.0
2025-06-09,66738.81170831039,49971.54435754393,16767.26735076645,3766.8803289999987,2831.5802187500017,1950.0,1950.0
2025-06-10,65158.66721948302,51334.55283308152,13824.114386401496,3156.977365999999,2648.6003056666655,1950.0,2700.0
2025-06-11,79957.0240615001,51474.53031760707,28482.493743893032,5757.115625166665,1898.4292404166683,2700.0,2550.0
2025-06-12,61407.164023423,52513.64601759901,8893.518005823993,1935.853917666665,3364.3858819166694,2550.0,1200.0
2025-06-13,25185.029947275798,24465.336084992174,719.6938622836258,181.72034316666688,15282.828252166666,1200.0,1950.0
2025-06-14,28791.89502708495,28764.57723969045,27.317787394499653,11.447490999999843,19339.775191,1950.0,9300.0
2025-06-15,56056.37784320675,51333.42759997555,4722.950243231203,966.8000109999984,6978.9100683333345,9300.0,1950.0
2025-06-16,60009.87506383153,57050.34596642595,2959.5290974055843,715.922930416667,6318.722387333331,1950.0,1950.0
2025-06-17,64486.28718475438,56692.23842248555,7794.048762268833,1553.7276261666666,5184.739354000001,1950.0,1950.0
2025-06-18,58447.49319884461,57628.897444249946,818.5957545946687,204.95464025000052,8739.558609666667,1950.0,1950.0
2025-06-19,57902.25544874778,56776.304736886115,1125.9507118616655,249.91554049999957,11565.322273333335,1950.0,1200.0
2025-06-20,27562.643593411856,27562.643593411856,0.0,0.0,28059.946775916666,1200.0,1950.0
2025-06-21,29674.4387536618,29674.4387536618,0.0,0.0,30524.322028833332,1950.0,9300.0
2025-06-22,55087.271144842925,55007.19439466205,80.07675018087534,30.721335500000123,13749.239120583334,9300.0,1950.0
2025-06-23,59809.813879652414,59627.42363565704,182.39024399537425,74.11091974999965,15874.586057750003,1950.0,1950.0
2025-06-24,68069.90910404602,60673.72895793056,7396.180146115455,1497.5473814166658,7083.396222833333,1950.0,1950.0
2025-06-25,61758.312652412336,59997.272560246005,1761.0400921663309,463.9015920833328,13010.856242833335,1950.0,1950.0
2025-06-26,58040.356077236895,58010.92208856023,29.43398867666429,7.116774999999421,14682.196424833333,1950.0,1200.0
