date,combo,total_cost,plan_cost,up_cost,down_cost,emergency_cost,emergency_kwh,waste_kwh,start_soc,end_soc
2025-06-26,none,53624.64278751703,53482.30407693671,0.0,0.0,142.33871058031997,49.85131972222237,12194.182956222221,6000.0,6000.000000000002
2025-06-27,none,33964.090573786045,33964.090573786045,0.0,0.0,0.0,0.0,32811.40074041666,6000.000000000002,6000.000000000002
2025-06-28,none,33301.17583344676,33301.17583344676,0.0,0.0,0.0,0.0,30385.14344766666,6000.000000000002,6000.000000000001
2025-06-29,none,54402.666798497696,52173.517835361694,0.0,0.0,2229.1489631359987,559.6701743888882,10341.008336638888,6000.000000000001,6000.000000000002
2025-06-30,none,56701.513607088855,56140.63671137414,0.0,0.0,560.8768957147076,185.48107886111103,14257.772432694444,6000.000000000002,6000.0
2025-07-01,none,73487.19376289591,48676.71920163918,0.0,0.0,24810.47456125673,7330.4672345555555,2231.310622638888,6000.0,6000.0
2025-07-02,none,63738.708817798,45952.19848411312,0.0,0.0,17786.510333684877,5329.81153072222,2107.8674659722233,6000.0,6000.0
2025-07-03,none,70120.66128475522,51517.34529073307,0.0,0.0,18603.315994022152,5314.4995606111115,3400.6801923611115,6000.0,6000.000000000002
2025-07-04,none,29707.298655238326,27982.133698639063,0.0,0.0,1725.1649565992614,669.688315222222,14865.394239555551,6000.000000000002,6000.0
2025-07-05,none,30141.331558481295,28430.809781739543,0.0,0.0,1710.5217767417507,754.1068197500001,15719.528683370367,6000.0,5999.999999999998
2025-07-06,none,81229.64924747375,48077.399612752735,0.0,0.0,33152.24963472102,8488.083248944442,869.094620527777,5999.999999999998,6000.0
2025-07-07,none,59352.207630207464,50774.668430342266,0.0,0.0,8577.539199865196,2548.530811722222,6006.431411055556,6000.0,6000.0
2025-07-08,none,60062.89095914055,54207.411154787085,0.0,0.0,5855.479804353469,1495.3608759722215,7543.275607138892,6000.0,6000.0
2025-07-09,none,58908.34439388433,53633.530215793304,0.0,0.0,5274.814178091023,1253.8703732499985,8617.852777250004,6000.0,6000.0
2025-07-10,none,57732.69715342912,49119.26852035354,0.0,0.0,8613.42863307559,2246.7626497222204,3236.70528855556,6000.0,6000.0
2025-07-11,none,33282.581322256316,33252.89538190632,0.0,0.0,29.685940350000244,13.629908333333447,19074.57523833333,6000.0,6000.0
2025-07-12,none,31119.090899738527,30869.225806978902,0.0,0.0,249.8650927596255,105.22607391666679,16357.01500875,6000.0,6000.000000000002
2025-07-13,none,55329.81653697087,52557.67388223849,0.0,0.0,2772.142654732386,695.632313583333,9439.815151916668,6000.000000000002,6000.000000000002
2025-07-14,none,57452.82941033686,48287.585207633485,0.0,0.0,9165.244202703376,2060.962911194445,4201.976353277778,6000.000000000002,6000.0
2025-07-15,none,54958.47961924056,52860.81864783671,0.0,0.0,2097.6609714038473,530.6922772222229,8258.625342138888,6000.0,6000.000000000002
2025-07-16,none,62048.91943825285,51251.73940159893,0.0,0.0,10797.180036653921,3250.9240076944416,7340.442949861112,6000.000000000002,6000.0
2025-07-17,none,62812.466864743736,49191.74376887896,0.0,0.0,13620.723095864778,3230.7995074166674,4386.673537000001,6000.0,6000.000000000004
2025-07-18,none,35516.691277104896,35516.691277104896,0.0,0.0,0.0,0.0,23089.000675666663,6000.000000000004,6000.000000000003
2025-07-19,none,35194.59192164118,35190.96749495785,0.0,0.0,3.624426683333351,1.695241666666675,25500.092382833333,6000.000000000003,6000.0
2025-07-20,none,56198.870726684334,51740.32073613229,0.0,0.0,4458.549990552039,1027.4626840555547,8111.020826472222,6000.0,6000.0
2025-07-21,none,56456.77966831545,52671.00622173498,0.0,0.0,3785.7734465804733,922.3315654166672,6525.959994749999,6000.0,6000.0
2025-07-22,none,59082.51474492147,52683.29227306195,0.0,0.0,6399.222471859528,1702.6294476388891,6985.465242972223,6000.0,6000.0
2025-07-23,none,59261.24980623093,59042.353678812186,0.0,0.0,218.8961274187487,59.81652499999968,14172.390259666665,6000.0,6000.0
2025-07-24,none,58631.79182303649,58528.367819969906,0.0,0.0,103.4240030665832,26.35328141666662,13818.847188750002,6000.0,6000.0
2025-07-25,none,34666.8547278992,34629.08391003256,0.0,0.0,37.77081786663877,10.949650055555523,25867.435993499996,6000.0,6000.0
2025-07-26,none,35141.42789808296,35141.42789808296,0.0,0.0,0.0,0.0,25696.169521416665,6000.0,6000.0
2025-07-27,none,63576.197580165346,52970.553137632865,0.0,0.0,10605.64444253248,2440.022016027777,8803.30099036111,6000.0,6000.000000000004
2025-07-28,none,63704.311211278284,55002.10967439212,0.0,0.0,8702.20153688616,2144.017520111109,7277.044589277779,6000.000000000004,6000.000000000002
2025-07-29,none,64930.679888056664,54031.71594116033,0.0,0.0,10898.96394689634,2907.290113277776,8258.05838452778,6000.000000000002,6000.0000000000055
2025-07-30,none,71747.15174090333,49896.610152093315,0.0,0.0,21850.54158881001,5852.1636413333335,6044.392642999999,6000.0000000000055,6000.000000000002
2025-07-31,none,62711.52736408904,51924.68995402052,0.0,0.0,10786.837410068514,2732.817226305555,6505.119552722224,6000.000000000002,6000.0
2025-08-01,none,34199.52105110437,34199.52105110437,0.0,0.0,0.0,0.0,30232.888239833334,6000.0,6000.0
2025-08-02,none,36394.605182319814,36394.605182319814,0.0,0.0,0.0,0.0,34920.054052249994,6000.0,6000.0
2025-08-03,none,49736.47564370556,45795.62598979489,0.0,0.0,3940.849653910671,1042.1219265833338,5441.4133506666685,6000.0,6000.0
2025-08-04,none,54521.81299973788,48897.87405153453,0.0,0.0,5623.938948203348,1304.7249693055523,7577.315290972225,6000.0,6000.000000000002
2025-08-05,none,56070.89417421262,47279.111083522235,0.0,0.0,8791.783090690387,2499.322193111111,6876.63673102778,6000.000000000002,6000.0
2025-08-06,none,58443.10280860582,52072.74824711955,0.0,0.0,6370.354561486271,1366.253719777776,9373.685350944448,6000.0,6000.0
2025-08-07,none,52038.860412800765,50850.8865574971,0.0,0.0,1187.973855303669,315.8067496388897,14643.547414555554,6000.0,6000.000000000002
2025-08-08,none,31381.518704408547,31381.518704408547,0.0,0.0,0.0,0.0,32484.82074577778,6000.000000000002,6000.0
2025-08-09,none,31632.594916175807,31632.594916175807,0.0,0.0,0.0,0.0,29180.964928333335,6000.0,6000.000000000001
2025-08-10,none,54398.75903956608,47861.541469552845,0.0,0.0,6537.217570013235,1389.183885916666,6890.957034250002,6000.000000000001,6000.0
2025-08-11,none,51420.85268191259,45999.44069005773,0.0,0.0,5421.41199185486,1371.4851030000002,6072.313345583335,6000.0,6000.000000000002
2025-08-12,none,52346.151784068,49457.55504800177,0.0,0.0,2888.5967360662307,749.5823602777768,8151.08196477778,6000.000000000002,6000.0
2025-08-13,none,57157.420712790445,44976.338632409956,0.0,0.0,12181.082080380489,2760.552429250001,4169.941047250001,6000.0,6000.0
2025-08-14,none,54677.44588107917,46621.57179871337,0.0,0.0,8055.8740823658045,1904.2349606944447,4802.83915086111,6000.0,6000.0
2025-08-15,none,32170.749108850752,32170.749108850752,0.0,0.0,0.0,0.0,31468.552558166666,6000.0,6000.0
2025-08-16,none,33459.92155968916,33459.92155968916,0.0,0.0,0.0,0.0,32755.372901749997,6000.0,6000.0
