problem,run,min_supply_slack,max_soc_residual,max_simultaneous_charge_discharge,min_soc,max_soc,solver_feasible,passed
Q4-2,2025-04-06,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-04-06,0.0,0.0,0.0,1211.375151222221,10800.0,True,True
Q2,2025-04-07,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-04-07,0.0,0.0,0.0,1219.027573456791,10800.000000000002,True,True
Q4-2,2025-04-07,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-04-07,0.0,0.0,0.0,1219.878885648149,10800.000000000002,True,True
Q2,2025-04-08,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-04-08,-4.718447854656915e-15,0.0,0.0,1200.0000000000014,10800.0,True,True
Q4-2,2025-04-08,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-04-08,-4.718447854656915e-15,0.0,0.0,1200.0,10800.0,True,True
Q2,2025-04-09,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-04-09,0.0,0.0,0.0,1200.0000000000011,10800.0,True,True
Q4-2,2025-04-09,-1.1368683772161603e-13,1.8189894035458565e-12,0.0,1200.0,10800.0,True,True
Q4-3,2025-04-09,0.0,0.0,0.0,1200.0000000000002,10800.0,True,True
Q2,2025-04-10,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-04-10,-4.440892098500626e-15,0.0,0.0,1199.9999999999995,10800.0,True,True
Q4-2,2025-04-10,-1.1368683772161603e-13,4.547473508864641e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-04-10,-4.440892098500626e-15,0.0,0.0,1200.000000000001,10800.0,True,True
Q2,2025-04-11,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-04-11,0.0,0.0,0.0,1400.2667550925933,9299.41209074074,True,True
Q4-2,2025-04-11,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
