problem,run,iterations,runtime_s,solver_objective
Q3,2025-03-08@00,340,0.0018747910000000978,22153.458274323286
Q3,2025-03-08@06,222,0.002013583999999735,0.002473856863040035
Q3,2025-03-08@12,178,0.0012369169999999485,0.001946684789100479
Q3,2025-03-08@18,81,0.0005717919999996823,0.0010912407339053502
Q4-2,2025-03-08,357,0.0018514169999996888,20858.38423028427
Q4-3,2025-03-08@00,340,0.001765624999999993,19367.917456061157
Q4-3,2025-03-08@06,222,0.0019405830000001068,0.0024738568630400352
Q4-3,2025-03-08@12,179,0.001229708000000329,0.001946684789100479
Q4-3,2025-03-08@18,84,0.0005735410000000662,0.0010699458060362654
Q2,2025-03-09,364,0.0020041670000003897,44642.584941217276
Q3,2025-03-09@00,374,0.0021260419999999947,43248.334678749095
Q3,2025-03-09@06,268,0.002162250000000032,0.0031159817826381052
Q3,2025-03-09@12,188,0.0012832920000001025,1455.451051476342
Q3,2025-03-09@18,91,0.0005826670000002032,215.11773162667652
Q4-2,2025-03-09,364,0.001993208000000024,47251.09893148785
Q4-3,2025-03-09@00,362,0.001956625000000045,45759.98380983319
Q4-3,2025-03-09@06,264,0.0020823750000000807,0.0031175989434783836
Q4-3,2025-03-09@12,187,0.0012570000000002857,1584.3526546698677
Q4-3,2025-03-09@18,90,0.0005780419999998898,203.96528201070674
Q2,2025-03-10,367,0.0019657500000000994,42664.44073851803
Q3,2025-03-10@00,366,0.0019210409999996791,40931.59053458855
Q3,2025-03-10@06,264,0.002129708000000008,562.3180416469249
Q3,2025-03-10@12,185,0.0012003329999998869,852.5068659251608
Q3,2025-03-10@18,91,0.0005706249999999358,149.28016481280613
Q4-2,2025-03-10,367,0.001864208999999839,44654.93793495551
Q4-3,2025-03-10@00,366,0.0018710410000002398,42802.29755408538
Q4-3,2025-03-10@06,262,0.002091583000000341,611.4636664317519
Q4-3,2025-03-10@12,183,0.001219667000000424,981.2461705081689
Q4-3,2025-03-10@18,89,0.0006335000000001756,145.89615696374742
Q2,2025-03-11,363,0.0020388750000002176,42853.855946770724
Q3,2025-03-11@00,363,0.0019252500000002115,36853.10051971819
Q3,2025-03-11@06,278,0.0023332499999999534,5081.861803164455
Q3,2025-03-11@12,186,0.001269624999999941,0.0017990069852446499
Q3,2025-03-11@18,90,0.0005861669999998043,140.91069263265308
Q4-2,2025-03-11,370,0.0019705420000000196,44744.185884719554
Q4-3,2025-03-11@00,365,0.0019663329999999313,37806.85295311966
Q4-3,2025-03-11@06,281,0.002398582999999732,5943.018483326768
Q4-3,2025-03-11@12,185,0.0013117080000002446,0.0017990069852446494
Q4-3,2025-03-11@18,91,0.0005804579999999504,135.59066951406453
Q2,2025-03-12,366,0.0018484579999999973,42799.20122848231
Q3,2025-03-12@00,362,0.001871582999999788,42375.282643121915
Q3,2025-03-12@06,260,0.0020592090000000063,0.0031383642632524336
Q3,2025-03-12@12,189,0.0012492499999998685,1870.6032891134278
Q3,2025-03-12@18,91,0.0005804590000000331,208.31939598571674
Q4-2,2025-03-12,355,0.001941458000000118,44507.39143806355
Q4-3,2025-03-12@00,359,0.0018676250000000394,44064.48763639713
Q4-3,2025-03-12@06,258,0.00214495899999978,0.003138364263252433
Q4-3,2025-03-12@12,192,0.0012802499999997607,1988.2981522443094
Q4-3,2025-03-12@18,91,0.0005902500000001254,197.21489977861378
Q2,2025-03-13,368,0.0019266249999998486,41871.99729806796
Q3,2025-03-13@00,377,0.001996624999999863,42206.85369391828
Q3,2025-03-13@06,277,0.0021535419999998417,0.0029907784726497253
Q3,2025-03-13@12,184,0.0012661249999998958,0.0018231064477576798
Q3,2025-03-13@18,91,0.0005820000000000825,328.8435713019417
Q4-2,2025-03-13,367,0.00186733299999986,43223.35286017965
Q4-3,2025-03-13@00,372,0.002008415999999791,43617.823744665206
Q4-3,2025-03-13@06,278,0.002412375000000022,0.0030626230114638884
Q4-3,2025-03-13@12,187,0.001253875000000182,0.0018231064477576802
